Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.335,-0.085,-1.923%,0.00,United States,1985,86104,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$1.07,-0.03,-2.727%,411839496.00,Canada,2022,3940306,Basic Materials,Precious Metals
IBIO,iBio Inc. Common Stock,$2.15,-0.17,-7.328%,18540903.00,United States,,52580,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$11.08,-0.12,-1.071%,141163211.00,,2022,66770,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$9.86,-0.37,-3.617%,1186221242.00,Canada,2022,334543,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.468,-0.0064,-1.349%,35397844.00,United States,,138805,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.502,0.082,5.775%,13553757.00,United States,1999,1995,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$70.11,0.79,1.14%,37567518258.00,Canada,1929,309761,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$2.15,0.01,0.467%,21935792.00,,2019,76915,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$6.90,-0.05,-0.719%,146937253.00,United States,,76398,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$7.26,-0.11,-1.493%,29864888.00,,2022,618,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$10.69,-0.03,-0.28%,133514273.00,United States,1997,82889,Industrials,Electrical Products
INUV,Inuvo Inc.,$0.292,-0.004,-1.351%,40846128.00,United States,,414684,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$15.6937,0.00,0.00%,64000572.00,United States,1987,95,Real Estate,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$8.5059,-0.2341,-2.678%,32470244.00,United States,,5282,Consumer Discretionary,Publishing
ITP,IT Tech Packaging Inc. Common Stock,$0.2488,0.0061,2.513%,2504401.00,China,,54174,Consumer Discretionary,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$1.05,0.01,0.962%,92881637.00,,,78521,Basic Materials,Precious Metals
JOB,GEE Group Inc. Common Stock,$0.3055,0.0004,0.131%,33229717.00,United States,1968,164069,Consumer Discretionary,Diversified Commercial Services
JWSM,Jaws Mustang Acquisition Corp. Class A Ordinary Shares,$11.13,0.00,0.00%,0.00,,2021,1125,Finance,Blank Checks
KNW,Know Labs Inc. Common Stock,$0.362,-0.0324,-8.215%,30955404.00,,2022,464222,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$0.293,-0.007,-2.333%,53524427.00,United States,,1388455,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.02,-0.10,-8.929%,192574108.00,United States,,796712,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGT,Legato Merger Corp. III Ordinary Shares,$10.16,0.00,0.00%,0.00,,2024,15355,,
LEU,Centrus Energy Corp. Class A Common Stock,$42.55,-1.03,-2.363%,680671499.00,United States,2014,146658,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$5.5642,-0.1258,-2.211%,29784812.00,United States,1946,436,Technology,Industrial Machinery/Components
LODE,Comstock Inc. Common Stock,$0.1554,-0.0076,-4.663%,21483284.00,United States,,3086463,Industrials,Major Chemicals
LPA,Logistic Properties of the Americas Ordinary Shares,$16.06,-0.12,-0.742%,509258537.00,,2024,282508,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,$0.1432,-0.0089,-5.851%,10192079.00,United States,2022,5032469,Consumer Discretionary,Professional Services
LSF,Laird Superfood Inc. Common Stock,$4.14,0.04,0.976%,39791792.00,,2020,21360,Consumer Staples,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$12.84,0.10,0.785%,344652975.00,United Kingdom,2012,123520,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$13.46,0.16,1.203%,1388614212.00,Canada,,930521,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$3.53,-0.17,-4.595%,77085136.00,,2022,244889,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.1301,-0.0698,-5.817%,44507247.00,,2022,607,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$8.57,-0.16,-1.833%,99705977.00,United States,,3142,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$4.51,-0.598,-11.707%,13935936.00,,2023,69923,Consumer Discretionary,Other Specialty Stores
MITQ,Moving iMage Technologies Inc. Common Stock,$0.65,-0.06,-8.451%,6620491.00,United States,2021,110610,Consumer Discretionary,Industrial Machinery/Components
MLSS,Milestone Scientific Inc. Common Stock,$0.96,-0.11,-10.28%,74138605.00,United States,2015,285309,Health Care,Industrial Specialties
MMA,Alta Global Group Limited Ordinary Shares,$2.40,-0.54,-18.367%,24642446.00,,2024,48547,Consumer Discretionary,Other Consumer Services
MPTI,M-tron Industries Inc. Common Stock,$34.126,0.346,1.024%,95504307.00,,2022,26435,Technology,Industrial Machinery/Components
MPU,Mega Matrix Corp. Common Stock,$2.15,-0.06,-2.715%,77353949.00,United States,1998,34076,Consumer Discretionary,Diversified Commercial Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$1.69,-0.03,-1.744%,96390999.00,,2021,63087,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.5378,-0.0076,-1.393%,11316738.00,United States,1994,15018,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$2.88,-0.15,-4.95%,263494915.00,,,465900,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.1629,-0.0057,-3.381%,40857953.00,United States,2017,379968,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.5214,-0.0146,-2.724%,16079976.00,,2023,597548,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$11.2997,0.00,0.00%,23616373.00,United States,2003,80,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$2.75,-0.05,-1.786%,125531401.00,,2017,16680,Real Estate,Other Consumer Services
MYO,Myomo Inc. Common Stock,$4.85,-0.75,-13.393%,139750989.00,United States,2017,787020,Health Care,Industrial Specialties
